name,itad_id,is_free,has_discount,discount_pct,current_price,regular_price,best_shop,history_low_all,history_low_y1,history_low_m3
NervBox,018d937f-6cae-70fd-8fc2-f9c48315b6c0,False,False,0.0,14.99,14.99,Steam,10.04,10.04,10.04
Overload,018d937f-2eef-7303-ac8a-85b480f6ee81,False,False,0.0,29.99,29.99,Humble Store,5.09,5.99,5.99
A Day Out,018d937f-69b8-720f-8586-251bcc6599aa,False,True,50.0,4.99,9.99,Steam,4.99,4.99,4.99
The Secret Order 2: Masked Intent,018d937f-2d08-725a-b5f3-44a92c9361ed,False,False,0.0,9.99,9.99,IndieGala Store,1.99,3.74,3.74
The Bonerooms,018d937f-7a07-73af-89ed-9377b367d38a,True,,,0.0,0.0,Steam,1.49,,
Magic Rampage,018d937f-30df-718c-94e6-d4826b1d3ecc,True,,,0.0,0.0,Steam,2.99,,
Dexter Stardust : Adventures in Outer Space,018d937f-50ad-70d2-bd69-35f0874e85ac,False,False,0.0,9.99,9.99,Steam,2.49,2.49,4.99
Holopoint,018d937f-1174-71ec-a6fb-1da41766dd3f,False,False,0.0,10.99,10.99,Steam,5.99,10.99,10.99
Choice of Robots,018d937f-045a-7041-a814-c33780aca0ff,False,False,0.0,6.99,6.99,Steam,2.94,4.89,4.89
Hero Plus,018d937f-123a-7216-ba4b-e01be2f9b267,True,,,0.0,0.0,Steam,,,
Brushwood Buddies,018d937f-22aa-736e-bea5-d5caab6a9099,False,False,0.0,2.99,2.99,Steam,0.38,0.59,0.59
Yargis - Space Melee,018d937e-ea28-7385-82ae-194daaaefb0e,False,False,0.0,2.99,2.99,Steam,0.38,1.19,1.49
Lux Delux,018d937f-1560-731e-8b1d-e8dd82709603,False,True,66.0,3.39,9.99,Steam,1.19,3.39,3.39
Stardom 3,018d937f-5e4c-7075-9a32-01345988e805,,,,,,,,,
The Office Quest,018d937f-1227-73a0-9e3a-e21fa45598b6,False,False,0.0,5.99,5.99,Steam,0.89,4.49,5.99
Armada: Modern Tanks,018d937f-1188-7195-8d3a-4d07e6661fed,,,,,,,,,
Sports Bar VR,018d957a-8d88-72af-9393-85603b5b7b0e,False,False,0.0,19.99,19.99,Humble Store,6.99,19.99,19.99
TRIBES 3: Rivals,018d937f-7989-724e-8e4f-fdb77eb4e815,False,False,0.0,19.99,19.99,Steam,9.99,19.99,19.99
The Bird's Realm 3,018d937f-60a9-7222-8014-3fa6a39d354e,False,False,0.0,0.99,0.99,Steam,0.79,0.99,0.99
No More Heroes 2: Desperate Struggle,018d937f-50bc-708d-b71e-5da75b106172,False,True,50.0,9.99,19.99,Humble Store,9.99,9.99,9.99
Sprite Fantasia,018d937f-69be-7195-a34d-76f44acc1f71,True,,,0.0,0.0,Steam,,,
Wolf's Gang,018d937f-4634-71fe-a5f5-265ac5b9ecba,True,,,0.0,0.0,Steam,,,
Dakar 18,018d937e-f511-7381-9236-eaea8fc677e6,False,True,90.0,2.99,29.99,Humble Store,2.99,2.99,2.99
Doom Sweeper,018d937f-7326-7185-9bed-f33501b787c7,False,False,0.0,4.99,4.99,Steam,1.99,1.99,1.99
WRC 6 FIA World Rally Championship,018d937f-1a83-7131-9e6d-0044b8fbad2a,False,True,92.0,1.27,14.99,Fanatical,1.16,1.19,1.19
Castle In The Darkness,018d937e-fceb-70ae-bb3b-01de0a2161a1,False,False,0.0,5.99,5.99,Humble Store,0.99,2.99,2.99
NSFW ~ Not a Simulator For Working,018d937e-ff0d-701a-933e-106381468441,False,False,0.0,2.99,2.99,Humble Store,0.59,0.59,0.59
One More Dungeon,018d937f-2872-71eb-b92e-628012845382,False,False,0.0,4.99,4.99,Fanatical,0.74,0.99,1.99
Collapse: A Political Simulator,018d937f-4b6f-7228-b215-31d56992b772,False,False,0.0,6.99,6.99,Steam,2.79,2.79,2.79
The Butterfly Sign: Human Error,018d937e-ff79-7006-af68-00a549f04a36,,,,,,,,,
Beyond Reality,018d937f-1930-73d6-bffe-5c9bf86257de,False,True,92.0,0.79,9.99,Steam,0.49,0.79,0.79
接触: 第一章(The Encounter: Chapter One),018d937f-74bf-70d0-982c-647479b370c9,,,,,,,,,
Kiwi Clicker - Juiced Up,018d937f-6e8a-7317-918d-dc6295997b1e,,,,,,,,,
Inexistence,018d937f-0a1d-7114-bee5-c9d70bd07d43,False,False,0.0,2.99,2.99,IndieGala Store,0.29,0.5,2.99
Atonement 2: Ruptured by Despair,018d937e-ea1d-7109-9842-5d9d9cc9cf71,False,False,0.0,5.99,5.99,Steam,0.59,0.83,0.83
L.A. Noire: The VR Case Files,018d9564-c0cc-708b-a637-6a2c5ef9cf5b,False,True,50.0,14.99,29.99,WinGameStore,8.39,12.9,13.05
Lock Down,0193106b-efb1-7306-9d2f-bda658bfe502,False,False,0.0,10.99,10.99,Steam,9.34,10.99,10.99
Levelhead,018d937f-0a90-7135-8b14-013223d00bf2,False,True,40.0,2.99,4.99,Steam,0.99,0.99,2.26
Xuan-Yuan Sword: The Scar of Sky,018d9777-e0f4-736d-b278-3713feb8763d,,,,,,,,,
Love Ribbon,018d937f-11fe-716b-9418-aa790c2dadb1,False,False,0.0,9.99,9.99,Steam,2.49,2.49,9.99
Tank Brawl 2: Armor Fury,018d937f-4d39-71d0-8a6e-2fcb8418015f,True,,,0.0,0.0,Steam,4.99,,
False Skies,018d937f-66b9-714e-8c09-9389c56abd90,False,False,0.0,8.99,8.99,Steam,4.49,4.49,4.49
Overboard!,018d937f-382d-7191-bcb6-4ea5696f6a31,,,,,,,,,
GRANADO ESPADA,018d937e-f046-71c3-8bca-f9ee16f9fb99,,,,,,,,,
"1,000 Heads Among the Trees",018d937e-efde-713c-94b1-e001403338d5,False,True,80.0,0.99,4.99,MacGameStore,0.37,0.99,0.99
Mutational Loading,01948ece-75ff-7026-a09b-5b2c3b6b10fa,False,False,0.0,2.99,2.99,Steam,2.99,2.99,2.99
Chamber Survival,018ef1ab-673b-724a-b1f2-0e52ca1d2991,False,True,80.0,3.19,15.99,Steam,0.71,0.79,0.79
Gray Dawn,018d937f-0ead-72c8-94a5-e76fa15dbef0,False,True,15.0,16.99,19.99,Fanatical,1.0,1.49,14.99
'n Verlore Verstand,018d937f-1ca2-73eb-b562-01d2266a947b,False,True,86.0,0.69,4.99,Steam,0.49,0.49,0.69
